"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 13:18:17 GMT 2024","Tue Oct 22 13:18:18 GMT 2024","776","chromium","Decimal_API/deleteLovValue.spec.ts","","","","deleteLovValue",""
"failed","Tue Oct 22 13:18:50 GMT 2024","Tue Oct 22 13:18:51 GMT 2024","698","chromium","Decimal_API/getLovValue.spec.ts","","","","getLovValue",""
"passed","Tue Oct 22 13:19:33 GMT 2024","Tue Oct 22 13:19:34 GMT 2024","706","chromium","Decimal_API/updateProduct.spec.ts","","","","updateProduct",""
"failed","Tue Oct 22 13:17:51 GMT 2024","Tue Oct 22 13:17:52 GMT 2024","723","chromium","Decimal_API/createLovGroup.spec.ts","","","","createLovGroup",""
"failed","Tue Oct 22 13:19:40 GMT 2024","Tue Oct 22 13:19:40 GMT 2024","692","chromium","Decimal_API/updateProductVariant.spec.ts","","","","updateProductVariant",""
"passed","Tue Oct 22 13:18:23 GMT 2024","Tue Oct 22 13:18:24 GMT 2024","755","chromium","Decimal_API/deleteSystemRole.spec.ts","","","","deleteSystemRole",""
"failed","Tue Oct 22 13:19:12 GMT 2024","Tue Oct 22 13:19:13 GMT 2024","706","chromium","Decimal_API/getUserRoleMpaaing.spec.ts","","","","getUserRoleMapping",""
"passed","Tue Oct 22 13:17:56 GMT 2024","Tue Oct 22 13:17:57 GMT 2024","718","chromium","Decimal_API/createProductSubVariant.spec.ts","","","","createProductSubVariant",""
"passed","Tue Oct 22 13:18:12 GMT 2024","Tue Oct 22 13:18:13 GMT 2024","771","chromium","Decimal_API/deleteLocation.spec.ts","","","","deleteLocation",""
"failed","Tue Oct 22 13:19:28 GMT 2024","Tue Oct 22 13:19:29 GMT 2024","696","chromium","Decimal_API/updateLovGroup.spec.ts","","","","updateLovGroup",""
"failed","Tue Oct 22 13:19:25 GMT 2024","Tue Oct 22 13:19:25 GMT 2024","696","chromium","Decimal_API/updateLov.spec.ts","","","","updateLov",""
"failed","Tue Oct 22 13:18:16 GMT 2024","Tue Oct 22 13:18:17 GMT 2024","747","chromium","Decimal_API/deleteLovGroup.spec.ts","","","","deleteLovGroup",""
"passed","Tue Oct 22 13:18:25 GMT 2024","Tue Oct 22 13:18:25 GMT 2024","661","chromium","Decimal_API/deleteUserRoleMpaaing.spec.ts","","","","deleteUserRoleMapping",""
"failed","Tue Oct 22 13:17:42 GMT 2024","Tue Oct 22 13:17:43 GMT 2024","765","chromium","Decimal_API/createFunction.spec.ts","","","","createFunction",""
"failed","Tue Oct 22 13:19:05 GMT 2024","Tue Oct 22 13:19:05 GMT 2024","696","chromium","Decimal_API/getSystemRole.spec.ts","","","","getSystemRole",""
"passed","Tue Oct 22 13:17:59 GMT 2024","Tue Oct 22 13:17:59 GMT 2024","682","chromium","Decimal_API/createtLovValue.spec.ts","","","","createLovValue",""
"passed","Tue Oct 22 13:18:25 GMT 2024","Tue Oct 22 13:18:26 GMT 2024","651","chromium","Decimal_API/deleteWorkflow.spec.ts","","","","deleteWorkflow",""
"failed","Tue Oct 22 13:19:20 GMT 2024","Tue Oct 22 13:19:20 GMT 2024","693","chromium","Decimal_API/updateFunction.spec.ts","","","","updateFunction",""
"failed","Tue Oct 22 13:18:46 GMT 2024","Tue Oct 22 13:18:47 GMT 2024","716","chromium","Decimal_API/getLovGroup.spec.ts","","","","getLovGroup",""
"failed","Tue Oct 22 13:19:01 GMT 2024","Tue Oct 22 13:19:02 GMT 2024","693","chromium","Decimal_API/getProductVariant.spec.ts","","","","getProductVariant",""
"failed","Tue Oct 22 13:18:39 GMT 2024","Tue Oct 22 13:18:40 GMT 2024","740","chromium","Decimal_API/getLocation.spec.ts","","","","getLocation",""
"passed","Tue Oct 22 13:18:23 GMT 2024","Tue Oct 22 13:18:23 GMT 2024","653","chromium","Decimal_API/deleteProductVariant.spec.ts","","","","deleteProductVariant",""
"passed","Tue Oct 22 13:19:22 GMT 2024","Tue Oct 22 13:19:22 GMT 2024","661","chromium","Decimal_API/updateLocation.spec.ts","","","","updateLocation",""
"failed","Tue Oct 22 13:18:36 GMT 2024","Tue Oct 22 13:18:36 GMT 2024","689","chromium","Decimal_API/getFunctionRole.spec.ts","","","","getFunctionRole",""
"failed","Tue Oct 22 13:18:08 GMT 2024","Tue Oct 22 13:18:08 GMT 2024","690","chromium","Decimal_API/deleteFunction.spec.ts","","","","deleteFunction",""
"passed","Tue Oct 22 13:18:22 GMT 2024","Tue Oct 22 13:18:23 GMT 2024","706","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
"failed","Tue Oct 22 13:19:32 GMT 2024","Tue Oct 22 13:19:32 GMT 2024","696","chromium","Decimal_API/updateLovValue.spec.ts","","","","updateLovValue",""
"passed","Tue Oct 22 13:17:58 GMT 2024","Tue Oct 22 13:17:58 GMT 2024","674","chromium","Decimal_API/createSystemRole.spec.ts","","","","createSystemRole",""
"passed","Tue Oct 22 13:17:59 GMT 2024","Tue Oct 22 13:18:00 GMT 2024","877","chromium","Decimal_API/createUser.spec.ts","","","","createUser",""
"failed","Tue Oct 22 13:19:15 GMT 2024","Tue Oct 22 13:19:16 GMT 2024","688","chromium","Decimal_API/getWorkflow.spec.ts","","","","getWorkflow",""
"passed","Tue Oct 22 13:18:24 GMT 2024","Tue Oct 22 13:18:25 GMT 2024","651","chromium","Decimal_API/deleteUser.spec.ts","","","","deleteUser",""
"failed","Tue Oct 22 13:18:28 GMT 2024","Tue Oct 22 13:18:29 GMT 2024","692","chromium","Decimal_API/getEmployee.spec.ts","","","","getEmployee",""
"passed","Tue Oct 22 13:18:13 GMT 2024","Tue Oct 22 13:18:14 GMT 2024","652","chromium","Decimal_API/deleteLov.spec.ts","","","","deleteLov",""
"passed","Tue Oct 22 13:19:17 GMT 2024","Tue Oct 22 13:19:17 GMT 2024","705","chromium","Decimal_API/updateEmployee.spec.ts","","","","updateEmployee",""
"failed","Tue Oct 22 13:17:46 GMT 2024","Tue Oct 22 13:17:47 GMT 2024","736","chromium","Decimal_API/createFunctionRole.spec.ts","","","","createFunctionRole",""
"failed","Tue Oct 22 13:18:11 GMT 2024","Tue Oct 22 13:18:12 GMT 2024","692","chromium","Decimal_API/deleteFunctionRole.spec.ts","","","","deleteFunctionRole",""
"failed","Tue Oct 22 13:19:54 GMT 2024","Tue Oct 22 13:19:55 GMT 2024","690","chromium","Decimal_API/updateWorkflow.spec.ts","","","","updateWorkflow",""
"passed","Tue Oct 22 13:19:21 GMT 2024","Tue Oct 22 13:19:22 GMT 2024","707","chromium","Decimal_API/updateFunctionRole.spec.ts","","","","updateFunctionRole",""
"failed","Tue Oct 22 13:18:21 GMT 2024","Tue Oct 22 13:18:21 GMT 2024","747","chromium","Decimal_API/deleteProduct.spec.ts","","","","deleteProduct",""
"passed","Tue Oct 22 13:18:00 GMT 2024","Tue Oct 22 13:18:01 GMT 2024","678","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
"failed","Tue Oct 22 13:18:03 GMT 2024","Tue Oct 22 13:18:04 GMT 2024","751","chromium","Decimal_API/createWorkflow.spec.ts","","","","createWorkflow",""
"failed","Tue Oct 22 13:18:57 GMT 2024","Tue Oct 22 13:18:58 GMT 2024","705","chromium","Decimal_API/getProductSubVariant.spec.ts","","","","getProductSubVariant",""
"failed","Tue Oct 22 13:18:43 GMT 2024","Tue Oct 22 13:18:44 GMT 2024","692","chromium","Decimal_API/getLov.spec.ts","","","","getLov",""
"failed","Tue Oct 22 13:19:50 GMT 2024","Tue Oct 22 13:19:51 GMT 2024","689","chromium","Decimal_API/updateUserRoleMpaaing.spec.ts","","","","updateUserRoleMapping",""
"failed","Tue Oct 22 13:19:43 GMT 2024","Tue Oct 22 13:19:44 GMT 2024","696","chromium","Decimal_API/updateSystemRole.spec.ts","","","","updateSystemRole",""
