"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 13:17:26 GMT 2024","Fri Oct 04 13:17:27 GMT 2024","729","chromium","Decimal_API/deleteProductVariant.spec.ts","","","","deleteProductVariant",""
"passed","Fri Oct 04 13:18:25 GMT 2024","Fri Oct 04 13:18:25 GMT 2024","781","chromium","Decimal_API/updateEmployee.spec.ts","","","","updateEmployee",""
"passed","Fri Oct 04 13:17:27 GMT 2024","Fri Oct 04 13:17:28 GMT 2024","727","chromium","Decimal_API/deleteUser.spec.ts","","","","deleteUser",""
"passed","Fri Oct 04 13:17:25 GMT 2024","Fri Oct 04 13:17:26 GMT 2024","776","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
"failed","Fri Oct 04 13:17:32 GMT 2024","Fri Oct 04 13:17:33 GMT 2024","781","chromium","Decimal_API/getEmployee.spec.ts","","","","getEmployee",""
"passed","Fri Oct 04 13:17:00 GMT 2024","Fri Oct 04 13:17:00 GMT 2024","772","chromium","Decimal_API/createSystemRole.spec.ts","","","","createSystemRole",""
"passed","Fri Oct 04 13:18:30 GMT 2024","Fri Oct 04 13:18:31 GMT 2024","742","chromium","Decimal_API/updateLocation.spec.ts","","","","updateLocation",""
"failed","Fri Oct 04 13:17:10 GMT 2024","Fri Oct 04 13:17:11 GMT 2024","771","chromium","Decimal_API/deleteFunction.spec.ts","","","","deleteFunction",""
"failed","Fri Oct 04 13:19:06 GMT 2024","Fri Oct 04 13:19:06 GMT 2024","772","chromium","Decimal_API/updateWorkflow.spec.ts","","","","updateWorkflow",""
"passed","Fri Oct 04 13:17:20 GMT 2024","Fri Oct 04 13:17:21 GMT 2024","782","chromium","Decimal_API/deleteLovValue.spec.ts","","","","deleteLovValue",""
"passed","Fri Oct 04 13:18:29 GMT 2024","Fri Oct 04 13:18:30 GMT 2024","785","chromium","Decimal_API/updateFunctionRole.spec.ts","","","","updateFunctionRole",""
"failed","Fri Oct 04 13:17:44 GMT 2024","Fri Oct 04 13:17:45 GMT 2024","784","chromium","Decimal_API/getLocation.spec.ts","","","","getLocation",""
"failed","Fri Oct 04 13:17:24 GMT 2024","Fri Oct 04 13:17:25 GMT 2024","773","chromium","Decimal_API/deleteProduct.spec.ts","","","","deleteProduct",""
"failed","Fri Oct 04 13:18:46 GMT 2024","Fri Oct 04 13:18:47 GMT 2024","772","chromium","Decimal_API/updateProductSubVariant.spec.ts","","","","updateProductSubVariant",""
"passed","Fri Oct 04 13:17:01 GMT 2024","Fri Oct 04 13:17:02 GMT 2024","745","chromium","Decimal_API/createUser.spec.ts","","","","createUser",""
"passed","Fri Oct 04 13:17:27 GMT 2024","Fri Oct 04 13:17:27 GMT 2024","728","chromium","Decimal_API/deleteSystemRole.spec.ts","","","","deleteSystemRole",""
"failed","Fri Oct 04 13:18:12 GMT 2024","Fri Oct 04 13:18:12 GMT 2024","774","chromium","Decimal_API/getSystemRole.spec.ts","","","","getSystemRole",""
"passed","Fri Oct 04 13:17:00 GMT 2024","Fri Oct 04 13:17:01 GMT 2024","795","chromium","Decimal_API/createtLovValue.spec.ts","","","","createLovValue",""
"passed","Fri Oct 04 13:16:48 GMT 2024","Fri Oct 04 13:16:49 GMT 2024","779","chromium","Decimal_API/createLocation.spec.ts","","","","createLocation",""
"passed","Fri Oct 04 13:17:02 GMT 2024","Fri Oct 04 13:17:03 GMT 2024","743","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
"failed","Fri Oct 04 13:18:58 GMT 2024","Fri Oct 04 13:18:59 GMT 2024","779","chromium","Decimal_API/updateUser.spec.ts","","","","updateUser",""
"failed","Fri Oct 04 13:18:28 GMT 2024","Fri Oct 04 13:18:29 GMT 2024","769","chromium","Decimal_API/updateFunction.spec.ts","","","","updateFunction",""
"failed","Fri Oct 04 13:18:04 GMT 2024","Fri Oct 04 13:18:05 GMT 2024","784","chromium","Decimal_API/getProductSubVariant.spec.ts","","","","getProductSubVariant",""
"passed","Fri Oct 04 13:16:49 GMT 2024","Fri Oct 04 13:16:50 GMT 2024","748","chromium","Decimal_API/createLov.spec.ts","","","","createLov",""
"failed","Fri Oct 04 13:17:14 GMT 2024","Fri Oct 04 13:17:15 GMT 2024","772","chromium","Decimal_API/deleteFunctionRole.spec.ts","","","","deleteFunctionRole",""
"failed","Fri Oct 04 13:16:53 GMT 2024","Fri Oct 04 13:16:53 GMT 2024","782","chromium","Decimal_API/createLovGroup.spec.ts","","","","createLovGroup",""
"failed","Fri Oct 04 13:19:02 GMT 2024","Fri Oct 04 13:19:02 GMT 2024","771","chromium","Decimal_API/updateUserRoleMpaaing.spec.ts","","","","updateUserRoleMapping",""
"failed","Fri Oct 04 13:17:52 GMT 2024","Fri Oct 04 13:17:53 GMT 2024","787","chromium","Decimal_API/getLovGroup.spec.ts","","","","getLovGroup",""
"passed","Fri Oct 04 13:17:28 GMT 2024","Fri Oct 04 13:17:29 GMT 2024","742","chromium","Decimal_API/deleteUserRoleMpaaing.spec.ts","","","","deleteUserRoleMapping",""
"failed","Fri Oct 04 13:18:16 GMT 2024","Fri Oct 04 13:18:16 GMT 2024","778","chromium","Decimal_API/getUser.spec.ts","","","","getUser",""
"passed","Fri Oct 04 13:17:29 GMT 2024","Fri Oct 04 13:17:30 GMT 2024","738","chromium","Decimal_API/deleteWorkflow.spec.ts","","","","deleteWorkflow",""
"failed","Fri Oct 04 13:16:57 GMT 2024","Fri Oct 04 13:16:57 GMT 2024","811","chromium","Decimal_API/createProduct.spec.ts","","","","createProduct",""
"passed","Fri Oct 04 13:16:58 GMT 2024","Fri Oct 04 13:16:59 GMT 2024","803","chromium","Decimal_API/createProductSubVariant.spec.ts","","","","createProductSubVariant",""
"passed","Fri Oct 04 13:17:16 GMT 2024","Fri Oct 04 13:17:17 GMT 2024","741","chromium","Decimal_API/deleteLov.spec.ts","","","","deleteLov",""
"failed","Fri Oct 04 13:18:08 GMT 2024","Fri Oct 04 13:18:08 GMT 2024","786","chromium","Decimal_API/getProductVariant.spec.ts","","","","getProductVariant",""
"passed","Fri Oct 04 13:16:59 GMT 2024","Fri Oct 04 13:17:00 GMT 2024","757","chromium","Decimal_API/createProductVariant.spec.ts","","","","createProductVariant",""
"failed","Fri Oct 04 13:18:54 GMT 2024","Fri Oct 04 13:18:55 GMT 2024","785","chromium","Decimal_API/updateSystemRole.spec.ts","","","","updateSystemRole",""
"failed","Fri Oct 04 13:18:19 GMT 2024","Fri Oct 04 13:18:20 GMT 2024","780","chromium","Decimal_API/getUserRoleMpaaing.spec.ts","","","","getUserRoleMapping",""
"passed","Fri Oct 04 13:18:43 GMT 2024","Fri Oct 04 13:18:43 GMT 2024","796","chromium","Decimal_API/updateProduct.spec.ts","","","","updateProduct",""
"failed","Fri Oct 04 13:17:48 GMT 2024","Fri Oct 04 13:17:49 GMT 2024","788","chromium","Decimal_API/getLov.spec.ts","","","","getLov",""
"failed","Fri Oct 04 13:17:40 GMT 2024","Fri Oct 04 13:17:41 GMT 2024","796","chromium","Decimal_API/getFunctionRole.spec.ts","","","","getFunctionRole",""
"failed","Fri Oct 04 13:16:43 GMT 2024","Fri Oct 04 13:16:44 GMT 2024","785","chromium","Decimal_API/createFunction.spec.ts","","","","createFunction",""
"failed","Fri Oct 04 13:17:36 GMT 2024","Fri Oct 04 13:17:37 GMT 2024","768","chromium","Decimal_API/getFunction.spec.ts","","","","getFunction",""
"failed","Fri Oct 04 13:18:41 GMT 2024","Fri Oct 04 13:18:42 GMT 2024","780","chromium","Decimal_API/updateLovValue.spec.ts","","","","updateLovValue",""
"passed","Fri Oct 04 13:17:07 GMT 2024","Fri Oct 04 13:17:07 GMT 2024","783","chromium","Decimal_API/deleteEmployee.spec.ts","","","","deleteEmployee",""
"failed","Fri Oct 04 13:17:05 GMT 2024","Fri Oct 04 13:17:06 GMT 2024","780","chromium","Decimal_API/createWorkflow.spec.ts","","","","createWorkflow",""
"failed","Fri Oct 04 13:18:50 GMT 2024","Fri Oct 04 13:18:51 GMT 2024","775","chromium","Decimal_API/updateProductVariant.spec.ts","","","","updateProductVariant",""
"failed","Fri Oct 04 13:17:19 GMT 2024","Fri Oct 04 13:17:20 GMT 2024","773","chromium","Decimal_API/deleteLovGroup.spec.ts","","","","deleteLovGroup",""
"failed","Fri Oct 04 13:16:47 GMT 2024","Fri Oct 04 13:16:48 GMT 2024","791","chromium","Decimal_API/createFunctionRole.spec.ts","","","","createFunctionRole",""
