"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 07 13:17:43 GMT 2024","Mon Oct 07 13:17:44 GMT 2024","682","chromium","Decimal_API/createUser.spec.ts","","","","createUser",""
"passed","Mon Oct 07 13:18:06 GMT 2024","Mon Oct 07 13:18:07 GMT 2024","698","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
"passed","Mon Oct 07 13:17:48 GMT 2024","Mon Oct 07 13:17:49 GMT 2024","707","chromium","Decimal_API/deleteEmployee.spec.ts","","","","deleteEmployee",""
"failed","Mon Oct 07 13:18:35 GMT 2024","Mon Oct 07 13:18:36 GMT 2024","701","chromium","Decimal_API/getLovValue.spec.ts","","","","getLovValue",""
"failed","Mon Oct 07 13:18:42 GMT 2024","Mon Oct 07 13:18:43 GMT 2024","724","chromium","Decimal_API/getProductSubVariant.spec.ts","","","","getProductSubVariant",""
"failed","Mon Oct 07 13:19:36 GMT 2024","Mon Oct 07 13:19:37 GMT 2024","711","chromium","Decimal_API/updateUserRoleMpaaing.spec.ts","","","","updateUserRoleMapping",""
"passed","Mon Oct 07 13:18:08 GMT 2024","Mon Oct 07 13:18:08 GMT 2024","688","chromium","Decimal_API/deleteSystemRole.spec.ts","","","","deleteSystemRole",""
"failed","Mon Oct 07 13:19:01 GMT 2024","Mon Oct 07 13:19:01 GMT 2024","719","chromium","Decimal_API/getWorkflow.spec.ts","","","","getWorkflow",""
"failed","Mon Oct 07 13:18:01 GMT 2024","Mon Oct 07 13:18:01 GMT 2024","715","chromium","Decimal_API/deleteLovGroup.spec.ts","","","","deleteLovGroup",""
"passed","Mon Oct 07 13:18:08 GMT 2024","Mon Oct 07 13:18:09 GMT 2024","653","chromium","Decimal_API/deleteUser.spec.ts","","","","deleteUser",""
"failed","Mon Oct 07 13:17:30 GMT 2024","Mon Oct 07 13:17:31 GMT 2024","806","chromium","Decimal_API/createFunctionRole.spec.ts","","","","createFunctionRole",""
"failed","Mon Oct 07 13:19:25 GMT 2024","Mon Oct 07 13:19:26 GMT 2024","706","chromium","Decimal_API/updateProductVariant.spec.ts","","","","updateProductVariant",""
"passed","Mon Oct 07 13:17:44 GMT 2024","Mon Oct 07 13:17:45 GMT 2024","692","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
