"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 23 13:17:09 GMT 2024","Mon Sep 23 13:17:10 GMT 2024","711","chromium","Decimal_API/createProduct.spec.ts","","","","createProduct",""
"passed","Mon Sep 23 13:17:45 GMT 2024","Mon Sep 23 13:17:46 GMT 2024","648","chromium","Decimal_API/deleteProductVariant.spec.ts","","","","deleteProductVariant",""
"failed","Mon Sep 23 13:17:58 GMT 2024","Mon Sep 23 13:17:59 GMT 2024","686","chromium","Decimal_API/getFunctionRole.spec.ts","","","","getFunctionRole",""
"passed","Mon Sep 23 13:17:11 GMT 2024","Mon Sep 23 13:17:11 GMT 2024","717","chromium","Decimal_API/createProductSubVariant.spec.ts","","","","createProductSubVariant",""
"failed","Mon Sep 23 13:17:20 GMT 2024","Mon Sep 23 13:17:21 GMT 2024","696","chromium","Decimal_API/createWorkflow.spec.ts","","","","createWorkflow",""
"failed","Mon Sep 23 13:16:54 GMT 2024","Mon Sep 23 13:16:55 GMT 2024","704","chromium","Decimal_API/createFunction.spec.ts","","","","createFunction",""
"failed","Mon Sep 23 13:17:06 GMT 2024","Mon Sep 23 13:17:06 GMT 2024","694","chromium","Decimal_API/createLovGroup.spec.ts","","","","createLovGroup",""
"passed","Mon Sep 23 13:18:45 GMT 2024","Mon Sep 23 13:18:45 GMT 2024","656","chromium","Decimal_API/updateLocation.spec.ts","","","","updateLocation",""
"failed","Mon Sep 23 13:17:40 GMT 2024","Mon Sep 23 13:17:40 GMT 2024","689","chromium","Decimal_API/deleteLovValue.spec.ts","","","","deleteLovValue",""
"failed","Mon Sep 23 13:18:31 GMT 2024","Mon Sep 23 13:18:32 GMT 2024","685","chromium","Decimal_API/getUser.spec.ts","","","","getUser",""
"failed","Mon Sep 23 13:18:24 GMT 2024","Mon Sep 23 13:18:24 GMT 2024","689","chromium","Decimal_API/getProductVariant.spec.ts","","","","getProductVariant",""
"passed","Mon Sep 23 13:17:29 GMT 2024","Mon Sep 23 13:17:30 GMT 2024","697","chromium","Decimal_API/deleteLocation.spec.ts","","","","deleteLocation",""
"failed","Mon Sep 23 13:18:59 GMT 2024","Mon Sep 23 13:19:00 GMT 2024","697","chromium","Decimal_API/updateProductSubVariant.spec.ts","","","","updateProductSubVariant",""
"failed","Mon Sep 23 13:18:48 GMT 2024","Mon Sep 23 13:18:48 GMT 2024","690","chromium","Decimal_API/updateLov.spec.ts","","","","updateLov",""
"failed","Mon Sep 23 13:17:33 GMT 2024","Mon Sep 23 13:17:33 GMT 2024","689","chromium","Decimal_API/deleteLov.spec.ts","","","","deleteLov",""
"passed","Mon Sep 23 13:18:56 GMT 2024","Mon Sep 23 13:18:57 GMT 2024","714","chromium","Decimal_API/updateProduct.spec.ts","","","","updateProduct",""
"passed","Mon Sep 23 13:17:12 GMT 2024","Mon Sep 23 13:17:13 GMT 2024","675","chromium","Decimal_API/createSystemRole.spec.ts","","","","createSystemRole",""
"passed","Mon Sep 23 13:18:44 GMT 2024","Mon Sep 23 13:18:45 GMT 2024","721","chromium","Decimal_API/updateFunctionRole.spec.ts","","","","updateFunctionRole",""
"failed","Mon Sep 23 13:19:14 GMT 2024","Mon Sep 23 13:19:14 GMT 2024","686","chromium","Decimal_API/updateUserRoleMpaaing.spec.ts","","","","updateUserRoleMapping",""
"failed","Mon Sep 23 13:17:15 GMT 2024","Mon Sep 23 13:17:16 GMT 2024","718","chromium","Decimal_API/createtLovValue.spec.ts","","","","createLovValue",""
"failed","Mon Sep 23 13:18:43 GMT 2024","Mon Sep 23 13:18:43 GMT 2024","700","chromium","Decimal_API/updateFunction.spec.ts","","","","updateFunction",""
"passed","Mon Sep 23 13:17:47 GMT 2024","Mon Sep 23 13:17:48 GMT 2024","646","chromium","Decimal_API/deleteUserRoleMpaaing.spec.ts","","","","deleteUserRoleMapping",""
"failed","Mon Sep 23 13:19:03 GMT 2024","Mon Sep 23 13:19:03 GMT 2024","687","chromium","Decimal_API/updateProductVariant.spec.ts","","","","updateProductVariant",""
"passed","Mon Sep 23 13:16:51 GMT 2024","Mon Sep 23 13:16:52 GMT 2024","759","chromium","Decimal_API/creaatetEmployee.spec.ts","","","","createEmployee",""
"failed","Mon Sep 23 13:18:55 GMT 2024","Mon Sep 23 13:18:56 GMT 2024","685","chromium","Decimal_API/updateLovValue.spec.ts","","","","updateLovValue",""
"failed","Mon Sep 23 13:18:02 GMT 2024","Mon Sep 23 13:18:03 GMT 2024","691","chromium","Decimal_API/getLocation.spec.ts","","","","getLocation",""
"passed","Mon Sep 23 13:17:11 GMT 2024","Mon Sep 23 13:17:12 GMT 2024","657","chromium","Decimal_API/createProductVariant.spec.ts","","","","createProductVariant",""
"failed","Mon Sep 23 13:18:16 GMT 2024","Mon Sep 23 13:18:17 GMT 2024","693","chromium","Decimal_API/getProduct.spec.ts","","","","getProduct",""
"failed","Mon Sep 23 13:18:27 GMT 2024","Mon Sep 23 13:18:28 GMT 2024","688","chromium","Decimal_API/getSystemRole.spec.ts","","","","getSystemRole",""
"passed","Mon Sep 23 13:17:45 GMT 2024","Mon Sep 23 13:17:45 GMT 2024","717","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
"failed","Mon Sep 23 13:19:06 GMT 2024","Mon Sep 23 13:19:07 GMT 2024","688","chromium","Decimal_API/updateSystemRole.spec.ts","","","","updateSystemRole",""
"passed","Mon Sep 23 13:17:48 GMT 2024","Mon Sep 23 13:17:49 GMT 2024","669","chromium","Decimal_API/deleteWorkflow.spec.ts","","","","deleteWorkflow",""
"passed","Mon Sep 23 13:17:16 GMT 2024","Mon Sep 23 13:17:17 GMT 2024","703","chromium","Decimal_API/createUser.spec.ts","","","","createUser",""
"failed","Mon Sep 23 13:18:13 GMT 2024","Mon Sep 23 13:18:13 GMT 2024","707","chromium","Decimal_API/getLovValue.spec.ts","","","","getLovValue",""
"failed","Mon Sep 23 13:16:58 GMT 2024","Mon Sep 23 13:16:58 GMT 2024","727","chromium","Decimal_API/createFunctionRole.spec.ts","","","","createFunctionRole",""
"failed","Mon Sep 23 13:17:25 GMT 2024","Mon Sep 23 13:17:25 GMT 2024","689","chromium","Decimal_API/deleteFunction.spec.ts","","","","deleteFunction",""
"failed","Mon Sep 23 13:17:36 GMT 2024","Mon Sep 23 13:17:37 GMT 2024","691","chromium","Decimal_API/deleteLovGroup.spec.ts","","","","deleteLovGroup",""
"failed","Mon Sep 23 13:18:38 GMT 2024","Mon Sep 23 13:18:39 GMT 2024","716","chromium","Decimal_API/getWorkflow.spec.ts","","","","getWorkflow",""
"passed","Mon Sep 23 13:17:47 GMT 2024","Mon Sep 23 13:17:47 GMT 2024","647","chromium","Decimal_API/deleteUser.spec.ts","","","","deleteUser",""
"passed","Mon Sep 23 13:17:46 GMT 2024","Mon Sep 23 13:17:47 GMT 2024","648","chromium","Decimal_API/deleteSystemRole.spec.ts","","","","deleteSystemRole",""
"passed","Mon Sep 23 13:16:59 GMT 2024","Mon Sep 23 13:17:00 GMT 2024","753","chromium","Decimal_API/createLocation.spec.ts","","","","createLocation",""
"failed","Mon Sep 23 13:19:10 GMT 2024","Mon Sep 23 13:19:11 GMT 2024","694","chromium","Decimal_API/updateUser.spec.ts","","","","updateUser",""
"passed","Mon Sep 23 13:17:21 GMT 2024","Mon Sep 23 13:17:22 GMT 2024","717","chromium","Decimal_API/deleteEmployee.spec.ts","","","","deleteEmployee",""
"passed","Mon Sep 23 13:18:39 GMT 2024","Mon Sep 23 13:18:40 GMT 2024","723","chromium","Decimal_API/updateEmployee.spec.ts","","","","updateEmployee",""
"failed","Mon Sep 23 13:18:20 GMT 2024","Mon Sep 23 13:18:21 GMT 2024","683","chromium","Decimal_API/getProductSubVariant.spec.ts","","","","getProductSubVariant",""
"failed","Mon Sep 23 13:17:28 GMT 2024","Mon Sep 23 13:17:29 GMT 2024","694","chromium","Decimal_API/deleteFunctionRole.spec.ts","","","","deleteFunctionRole",""
