"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 30 02:15:39 GMT 2024","Mon Sep 30 02:15:40 GMT 2024","788","chromium","Decimal_API/getProduct.spec.ts","","","","getProduct",""
"failed","Mon Sep 30 02:14:32 GMT 2024","Mon Sep 30 02:14:33 GMT 2024","798","chromium","Decimal_API/createLovGroup.spec.ts","","","","createLovGroup",""
"failed","Mon Sep 30 02:14:44 GMT 2024","Mon Sep 30 02:14:45 GMT 2024","781","chromium","Decimal_API/createWorkflow.spec.ts","","","","createWorkflow",""
"failed","Mon Sep 30 02:14:26 GMT 2024","Mon Sep 30 02:14:27 GMT 2024","835","chromium","Decimal_API/createFunctionRole.spec.ts","","","","createFunctionRole",""
"passed","Mon Sep 30 02:14:41 GMT 2024","Mon Sep 30 02:14:42 GMT 2024","739","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
"failed","Mon Sep 30 02:15:47 GMT 2024","Mon Sep 30 02:15:48 GMT 2024","783","chromium","Decimal_API/getProductVariant.spec.ts","","","","getProductVariant",""
"failed","Mon Sep 30 02:16:37 GMT 2024","Mon Sep 30 02:16:38 GMT 2024","772","chromium","Decimal_API/updateUser.spec.ts","","","","updateUser",""
"failed","Mon Sep 30 02:15:35 GMT 2024","Mon Sep 30 02:15:36 GMT 2024","805","chromium","Decimal_API/getLovValue.spec.ts","","","","getLovValue",""
"passed","Mon Sep 30 02:15:05 GMT 2024","Mon Sep 30 02:15:06 GMT 2024","733","chromium","Decimal_API/deleteProductVariant.spec.ts","","","","deleteProductVariant",""
"passed","Mon Sep 30 02:14:55 GMT 2024","Mon Sep 30 02:14:56 GMT 2024","735","chromium","Decimal_API/deleteLov.spec.ts","","","","deleteLov",""
"failed","Mon Sep 30 02:15:27 GMT 2024","Mon Sep 30 02:15:28 GMT 2024","781","chromium","Decimal_API/getLov.spec.ts","","","","getLov",""
