"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 13:17:55 GMT 2024","Wed Oct 16 13:17:55 GMT 2024","697","chromium","Decimal_API/deleteUser.spec.ts","","","","deleteUser",""
"failed","Wed Oct 16 13:18:53 GMT 2024","Wed Oct 16 13:18:53 GMT 2024","736","chromium","Decimal_API/updateFunction.spec.ts","","","","updateFunction",""
"passed","Wed Oct 16 13:17:56 GMT 2024","Wed Oct 16 13:17:57 GMT 2024","703","chromium","Decimal_API/deleteWorkflow.spec.ts","","","","deleteWorkflow",""
"failed","Wed Oct 16 13:18:14 GMT 2024","Wed Oct 16 13:18:15 GMT 2024","756","chromium","Decimal_API/getLov.spec.ts","","","","getLov",""
"failed","Wed Oct 16 13:17:47 GMT 2024","Wed Oct 16 13:17:48 GMT 2024","741","chromium","Decimal_API/deleteLovGroup.spec.ts","","","","deleteLovGroup",""
"passed","Wed Oct 16 13:17:43 GMT 2024","Wed Oct 16 13:17:44 GMT 2024","737","chromium","Decimal_API/deleteLocation.spec.ts","","","","deleteLocation",""
"failed","Wed Oct 16 13:18:58 GMT 2024","Wed Oct 16 13:18:59 GMT 2024","739","chromium","Decimal_API/updateLov.spec.ts","","","","updateLov",""
"passed","Wed Oct 16 13:17:27 GMT 2024","Wed Oct 16 13:17:28 GMT 2024","707","chromium","Decimal_API/createProductVariant.spec.ts","","","","createProductVariant",""
"failed","Wed Oct 16 13:18:18 GMT 2024","Wed Oct 16 13:18:19 GMT 2024","758","chromium","Decimal_API/getLovGroup.spec.ts","","","","getLovGroup",""
"failed","Wed Oct 16 13:19:05 GMT 2024","Wed Oct 16 13:19:06 GMT 2024","737","chromium","Decimal_API/updateLovValue.spec.ts","","","","updateLovValue",""
"failed","Wed Oct 16 13:17:16 GMT 2024","Wed Oct 16 13:17:17 GMT 2024","828","chromium","Decimal_API/createFunctionRole.spec.ts","","","","createFunctionRole",""
"passed","Wed Oct 16 13:17:53 GMT 2024","Wed Oct 16 13:17:53 GMT 2024","742","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
"passed","Wed Oct 16 13:17:53 GMT 2024","Wed Oct 16 13:17:54 GMT 2024","697","chromium","Decimal_API/deleteProductVariant.spec.ts","","","","deleteProductVariant",""
"passed","Wed Oct 16 13:18:54 GMT 2024","Wed Oct 16 13:18:55 GMT 2024","759","chromium","Decimal_API/updateFunctionRole.spec.ts","","","","updateFunctionRole",""
"failed","Wed Oct 16 13:18:07 GMT 2024","Wed Oct 16 13:18:08 GMT 2024","738","chromium","Decimal_API/getFunctionRole.spec.ts","","","","getFunctionRole",""
