"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 27 13:19:32 GMT 2024","Fri Sep 27 13:19:33 GMT 2024","747","chromium","Decimal_API/updateUserRoleMpaaing.spec.ts","","","","updateUserRoleMapping",""
"passed","Fri Sep 27 13:17:36 GMT 2024","Fri Sep 27 13:17:36 GMT 2024","722","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
"passed","Fri Sep 27 13:17:14 GMT 2024","Fri Sep 27 13:17:15 GMT 2024","872","chromium","Decimal_API/creaatetEmployee.spec.ts","","","","createEmployee",""
"passed","Fri Sep 27 13:18:02 GMT 2024","Fri Sep 27 13:18:03 GMT 2024","721","chromium","Decimal_API/deleteWorkflow.spec.ts","","","","deleteWorkflow",""
"failed","Fri Sep 27 13:18:59 GMT 2024","Fri Sep 27 13:19:00 GMT 2024","758","chromium","Decimal_API/updateFunction.spec.ts","","","","updateFunction",""
"failed","Fri Sep 27 13:18:32 GMT 2024","Fri Sep 27 13:18:33 GMT 2024","772","chromium","Decimal_API/getProduct.spec.ts","","","","getProduct",""
"failed","Fri Sep 27 13:17:53 GMT 2024","Fri Sep 27 13:17:53 GMT 2024","753","chromium","Decimal_API/deleteLovGroup.spec.ts","","","","deleteLovGroup",""
"passed","Fri Sep 27 13:17:23 GMT 2024","Fri Sep 27 13:17:23 GMT 2024","847","chromium","Decimal_API/createLocation.spec.ts","","","","createLocation",""
"failed","Fri Sep 27 13:18:28 GMT 2024","Fri Sep 27 13:18:29 GMT 2024","751","chromium","Decimal_API/getLovValue.spec.ts","","","","getLovValue",""
"passed","Fri Sep 27 13:18:01 GMT 2024","Fri Sep 27 13:18:01 GMT 2024","706","chromium","Decimal_API/deleteUser.spec.ts","","","","deleteUser",""
"passed","Fri Sep 27 13:17:49 GMT 2024","Fri Sep 27 13:17:50 GMT 2024","710","chromium","Decimal_API/deleteLov.spec.ts","","","","deleteLov",""
"passed","Fri Sep 27 13:17:58 GMT 2024","Fri Sep 27 13:17:59 GMT 2024","751","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
