"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 02 13:16:57 GMT 2024","Wed Oct 02 13:16:58 GMT 2024","761","chromium","Decimal_API/deleteFunction.spec.ts","","","","deleteFunction",""
"passed","Wed Oct 02 13:16:28 GMT 2024","Wed Oct 02 13:16:29 GMT 2024","880","chromium","Decimal_API/creaatetEmployee.spec.ts","","","","createEmployee",""
"failed","Wed Oct 02 13:18:14 GMT 2024","Wed Oct 02 13:18:15 GMT 2024","764","chromium","Decimal_API/updateFunction.spec.ts","","","","updateFunction",""
"failed","Wed Oct 02 13:17:58 GMT 2024","Wed Oct 02 13:17:59 GMT 2024","772","chromium","Decimal_API/getSystemRole.spec.ts","","","","getSystemRole",""
"passed","Wed Oct 02 13:18:15 GMT 2024","Wed Oct 02 13:18:16 GMT 2024","777","chromium","Decimal_API/updateFunctionRole.spec.ts","","","","updateFunctionRole",""
"failed","Wed Oct 02 13:18:43 GMT 2024","Wed Oct 02 13:18:44 GMT 2024","763","chromium","Decimal_API/updateUser.spec.ts","","","","updateUser",""
"failed","Wed Oct 02 13:18:27 GMT 2024","Wed Oct 02 13:18:28 GMT 2024","762","chromium","Decimal_API/updateLovValue.spec.ts","","","","updateLovValue",""
"passed","Wed Oct 02 13:16:46 GMT 2024","Wed Oct 02 13:16:46 GMT 2024","776","chromium","Decimal_API/createProductSubVariant.spec.ts","","","","createProductSubVariant",""
"failed","Wed Oct 02 13:16:40 GMT 2024","Wed Oct 02 13:16:41 GMT 2024","825","chromium","Decimal_API/createLovGroup.spec.ts","","","","createLovGroup",""
"passed","Wed Oct 02 13:16:54 GMT 2024","Wed Oct 02 13:16:55 GMT 2024","772","chromium","Decimal_API/deleteEmployee.spec.ts","","","","deleteEmployee",""
"failed","Wed Oct 02 13:17:23 GMT 2024","Wed Oct 02 13:17:24 GMT 2024","763","chromium","Decimal_API/getFunction.spec.ts","","","","getFunction",""
"passed","Wed Oct 02 13:17:08 GMT 2024","Wed Oct 02 13:17:09 GMT 2024","773","chromium","Decimal_API/deleteLovValue.spec.ts","","","","deleteLovValue",""
"failed","Wed Oct 02 13:16:44 GMT 2024","Wed Oct 02 13:16:45 GMT 2024","797","chromium","Decimal_API/createProduct.spec.ts","","","","createProduct",""
"failed","Wed Oct 02 13:16:53 GMT 2024","Wed Oct 02 13:16:54 GMT 2024","772","chromium","Decimal_API/createWorkflow.spec.ts","","","","createWorkflow",""
"failed","Wed Oct 02 13:18:47 GMT 2024","Wed Oct 02 13:18:48 GMT 2024","765","chromium","Decimal_API/updateUserRoleMpaaing.spec.ts","","","","updateUserRoleMapping",""
"passed","Wed Oct 02 13:16:49 GMT 2024","Wed Oct 02 13:16:50 GMT 2024","734","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
"passed","Wed Oct 02 13:17:12 GMT 2024","Wed Oct 02 13:17:13 GMT 2024","768","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
"passed","Wed Oct 02 13:16:46 GMT 2024","Wed Oct 02 13:16:47 GMT 2024","727","chromium","Decimal_API/createProductVariant.spec.ts","","","","createProductVariant",""
"passed","Wed Oct 02 13:18:29 GMT 2024","Wed Oct 02 13:18:29 GMT 2024","798","chromium","Decimal_API/updateProduct.spec.ts","","","","updateProduct",""
