"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 26 13:18:43 GMT 2024","Thu Sep 26 13:18:44 GMT 2024","713","chromium","Decimal_API/getSystemRole.spec.ts","","","","getSystemRole",""
"passed","Thu Sep 26 13:17:33 GMT 2024","Thu Sep 26 13:17:33 GMT 2024","855","chromium","Decimal_API/createProductSubVariant.spec.ts","","","","createProductSubVariant",""
"failed","Thu Sep 26 13:17:31 GMT 2024","Thu Sep 26 13:17:32 GMT 2024","774","chromium","Decimal_API/createProduct.spec.ts","","","","createProduct",""
"passed","Thu Sep 26 13:17:35 GMT 2024","Thu Sep 26 13:17:36 GMT 2024","829","chromium","Decimal_API/createtLovValue.spec.ts","","","","createLovValue",""
"failed","Thu Sep 26 13:19:11 GMT 2024","Thu Sep 26 13:19:12 GMT 2024","723","chromium","Decimal_API/updateLovValue.spec.ts","","","","updateLovValue",""
"passed","Thu Sep 26 13:18:00 GMT 2024","Thu Sep 26 13:18:01 GMT 2024","765","chromium","Decimal_API/deleteSystemRole.spec.ts","","","","deleteSystemRole",""
"failed","Thu Sep 26 13:18:09 GMT 2024","Thu Sep 26 13:18:10 GMT 2024","731","chromium","Decimal_API/getFunction.spec.ts","","","","getFunction",""
"failed","Thu Sep 26 13:19:34 GMT 2024","Thu Sep 26 13:19:35 GMT 2024","722","chromium","Decimal_API/updateWorkflow.spec.ts","","","","updateWorkflow",""
"passed","Thu Sep 26 13:17:36 GMT 2024","Thu Sep 26 13:17:37 GMT 2024","736","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
"passed","Thu Sep 26 13:17:50 GMT 2024","Thu Sep 26 13:17:51 GMT 2024","697","chromium","Decimal_API/deleteLov.spec.ts","","","","deleteLov",""
"passed","Thu Sep 26 13:17:33 GMT 2024","Thu Sep 26 13:17:34 GMT 2024","714","chromium","Decimal_API/createProductVariant.spec.ts","","","","createProductVariant",""
"failed","Thu Sep 26 13:19:31 GMT 2024","Thu Sep 26 13:19:31 GMT 2024","718","chromium","Decimal_API/updateUserRoleMpaaing.spec.ts","","","","updateUserRoleMapping",""
"failed","Thu Sep 26 13:17:58 GMT 2024","Thu Sep 26 13:17:58 GMT 2024","716","chromium","Decimal_API/deleteProduct.spec.ts","","","","deleteProduct",""
