"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 15 13:19:54 GMT 2024","Tue Oct 15 13:19:55 GMT 2024","726","chromium","Decimal_API/updateLovGroup.spec.ts","","","","updateLovGroup",""
"failed","Tue Oct 15 13:18:09 GMT 2024","Tue Oct 15 13:18:10 GMT 2024","701","chromium","Decimal_API/createFunctionRole.spec.ts","","","","createFunctionRole",""
"failed","Tue Oct 15 13:19:11 GMT 2024","Tue Oct 15 13:19:12 GMT 2024","818","chromium","Decimal_API/getLovGroup.spec.ts","","","","getLovGroup",""
"passed","Tue Oct 15 13:18:10 GMT 2024","Tue Oct 15 13:18:11 GMT 2024","795","chromium","Decimal_API/createLocation.spec.ts","","","","createLocation",""
"passed","Tue Oct 15 13:18:41 GMT 2024","Tue Oct 15 13:18:41 GMT 2024","705","chromium","Decimal_API/deleteLovValue.spec.ts","","","","deleteLovValue",""
"failed","Tue Oct 15 13:19:51 GMT 2024","Tue Oct 15 13:19:51 GMT 2024","718","chromium","Decimal_API/updateLov.spec.ts","","","","updateLov",""
"passed","Tue Oct 15 13:18:02 GMT 2024","Tue Oct 15 13:18:02 GMT 2024","794","chromium","Decimal_API/creaatetEmployee.spec.ts","","","","createEmployee",""
"passed","Tue Oct 15 13:18:22 GMT 2024","Tue Oct 15 13:18:23 GMT 2024","751","chromium","Decimal_API/createUser.spec.ts","","","","createUser",""
"passed","Tue Oct 15 13:18:48 GMT 2024","Tue Oct 15 13:18:48 GMT 2024","663","chromium","Decimal_API/deleteUserRoleMpaaing.spec.ts","","","","deleteUserRoleMapping",""
"failed","Tue Oct 15 13:19:33 GMT 2024","Tue Oct 15 13:19:34 GMT 2024","750","chromium","Decimal_API/getUser.spec.ts","","","","getUser",""
"failed","Tue Oct 15 13:18:34 GMT 2024","Tue Oct 15 13:18:35 GMT 2024","705","chromium","Decimal_API/deleteFunctionRole.spec.ts","","","","deleteFunctionRole",""
"passed","Tue Oct 15 13:19:47 GMT 2024","Tue Oct 15 13:19:47 GMT 2024","709","chromium","Decimal_API/updateFunctionRole.spec.ts","","","","updateFunctionRole",""
"failed","Tue Oct 15 13:18:05 GMT 2024","Tue Oct 15 13:18:06 GMT 2024","786","chromium","Decimal_API/createFunction.spec.ts","","","","createFunction",""
"failed","Tue Oct 15 13:18:59 GMT 2024","Tue Oct 15 13:19:00 GMT 2024","703","chromium","Decimal_API/getFunctionRole.spec.ts","","","","getFunctionRole",""
"failed","Tue Oct 15 13:19:03 GMT 2024","Tue Oct 15 13:19:04 GMT 2024","757","chromium","Decimal_API/getLocation.spec.ts","","","","getLocation",""
