"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 01 13:18:17 GMT 2024","Tue Oct 01 13:18:17 GMT 2024","777","chromium","Decimal_API/createProductVariant.spec.ts","","","","createProductVariant",""
"failed","Tue Oct 01 13:18:56 GMT 2024","Tue Oct 01 13:18:57 GMT 2024","775","chromium","Decimal_API/getFunctionRole.spec.ts","","","","getFunctionRole",""
"passed","Tue Oct 01 13:18:19 GMT 2024","Tue Oct 01 13:18:20 GMT 2024","699","chromium","Decimal_API/createUser.spec.ts","","","","createUser",""
"failed","Tue Oct 01 13:18:23 GMT 2024","Tue Oct 01 13:18:23 GMT 2024","706","chromium","Decimal_API/createWorkflow.spec.ts","","","","createWorkflow",""
"passed","Tue Oct 01 13:19:38 GMT 2024","Tue Oct 01 13:19:39 GMT 2024","713","chromium","Decimal_API/updateEmployee.spec.ts","","","","updateEmployee",""
"failed","Tue Oct 01 13:19:54 GMT 2024","Tue Oct 01 13:19:54 GMT 2024","689","chromium","Decimal_API/updateLovValue.spec.ts","","","","updateLovValue",""
"failed","Tue Oct 01 13:19:29 GMT 2024","Tue Oct 01 13:19:30 GMT 2024","697","chromium","Decimal_API/getUser.spec.ts","","","","getUser",""
"passed","Tue Oct 01 13:17:58 GMT 2024","Tue Oct 01 13:17:59 GMT 2024","824","chromium","Decimal_API/creaatetEmployee.spec.ts","","","","createEmployee",""
"passed","Tue Oct 01 13:18:20 GMT 2024","Tue Oct 01 13:18:20 GMT 2024","695","chromium","Decimal_API/createUserRoleMpaaing.spec.ts","","","","createUserRoleMapping",""
"failed","Tue Oct 01 13:20:09 GMT 2024","Tue Oct 01 13:20:10 GMT 2024","711","chromium","Decimal_API/updateUser.spec.ts","","","","updateUser",""
"failed","Tue Oct 01 13:19:15 GMT 2024","Tue Oct 01 13:19:15 GMT 2024","720","chromium","Decimal_API/getProduct.spec.ts","","","","getProduct",""
"failed","Tue Oct 01 13:18:15 GMT 2024","Tue Oct 01 13:18:15 GMT 2024","794","chromium","Decimal_API/createProduct.spec.ts","","","","createProduct",""
"passed","Tue Oct 01 13:19:42 GMT 2024","Tue Oct 01 13:19:43 GMT 2024","721","chromium","Decimal_API/updateFunctionRole.spec.ts","","","","updateFunctionRole",""
"failed","Tue Oct 01 13:18:27 GMT 2024","Tue Oct 01 13:18:28 GMT 2024","806","chromium","Decimal_API/deleteFunction.spec.ts","","","","deleteFunction",""
"failed","Tue Oct 01 13:19:22 GMT 2024","Tue Oct 01 13:19:23 GMT 2024","706","chromium","Decimal_API/getProductVariant.spec.ts","","","","getProductVariant",""
"passed","Tue Oct 01 13:18:08 GMT 2024","Tue Oct 01 13:18:08 GMT 2024","802","chromium","Decimal_API/createLov.spec.ts","","","","createLov",""
"passed","Tue Oct 01 13:18:42 GMT 2024","Tue Oct 01 13:18:43 GMT 2024","694","chromium","Decimal_API/deleteProductSubVariant.spec.ts","","","","deleteProductSubVariant",""
"passed","Tue Oct 01 13:18:38 GMT 2024","Tue Oct 01 13:18:38 GMT 2024","728","chromium","Decimal_API/deleteLovValue.spec.ts","","","","deleteLovValue",""
